,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Empty_Seats,Available_Seat_Miles,Revenue_Passenger_Mile,Missed_Revenue_Miles,Avg_Seats_per_Flight
1341869,MDW,MCO,"Chicago, IL","Orlando, FL",20955,30542,223,989,2007-07,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,9587,30206038,20724495,9481543,137.0
1341883,MDW,MCO,"Chicago, IL","Orlando, FL",23471,27802,203,989,2007-03,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,4331,27496178,23212819,4283359,137.0
1341923,ATL,MCO,"Atlanta, GA","Orlando, FL",21878,25155,215,403,2007-06,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,3277,10137465,8816834,1320631,117.0
1341957,ATL,MCO,"Atlanta, GA","Orlando, FL",21115,31239,267,403,2007-12,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,10124,12589317,8509345,4079972,117.0
1341989,ATL,MCO,"Atlanta, GA","Orlando, FL",37216,40351,221,403,2007-06,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,3135,16261453,14998048,1263405,183.0
1341994,ATL,MCO,"Atlanta, GA","Orlando, FL",39118,44773,245,403,2007-07,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,5655,18043519,15764554,2278965,183.0
1342012,ATL,MCO,"Atlanta, GA","Orlando, FL",21351,29718,254,403,2007-11,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,8367,11976354,8604453,3371901,117.0
1342018,ATL,MCO,"Atlanta, GA","Orlando, FL",40447,51174,206,403,2007-12,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,10727,20623122,16300141,4322981,248.0
1342027,ATL,MCO,"Atlanta, GA","Orlando, FL",20516,25740,220,403,2007-08,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,5224,10373220,8267948,2105272,117.0
1342031,ATL,MCO,"Atlanta, GA","Orlando, FL",23358,28548,244,403,2007-07,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,5190,11504844,9413274,2091570,117.0
1342041,ATL,MCO,"Atlanta, GA","Orlando, FL",20893,27811,203,403,2007-04,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,6918,11207833,8419879,2787954,137.0
1342059,ATL,MCO,"Atlanta, GA","Orlando, FL",30135,36640,201,403,2007-11,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,6505,14765920,12144405,2621515,182.0
1342071,ATL,MCO,"Atlanta, GA","Orlando, FL",35206,40472,222,403,2007-10,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,5266,16310216,14188018,2122198,182.0
1342095,ATL,MCO,"Atlanta, GA","Orlando, FL",20722,27729,237,403,2007-05,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,7007,11174787,8350966,2823821,117.0
1342111,ATL,MCO,"Atlanta, GA","Orlando, FL",24835,28907,211,403,2007-03,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,4072,11649521,10008505,1641016,137.0
1342116,ATL,MCO,"Atlanta, GA","Orlando, FL",33661,39687,217,403,2007-08,5267527,2034878,33.6366996765137,-84.4281005859375,28.4293994903564,-81.3089981079102,6026,15993861,13565383,2428478,183.0
1342637,BWI,MCO,"Baltimore, MD","Orlando, FL",28594,34387,251,787,2007-07,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,5793,27062569,22503478,4559091,137.0
1342679,CLT,MCO,"Charlotte, NC","Orlando, FL",32713,39258,205,468,2007-10,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,6545,18372744,15309684,3063060,192.0
1342683,BWI,MCO,"Baltimore, MD","Orlando, FL",18321,30825,225,787,2007-09,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,12504,24259275,14418627,9840648,137.0
1342722,CLT,MCO,"Charlotte, NC","Orlando, FL",31840,38749,202,468,2007-05,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,6909,18134532,14901120,3233412,192.0
1342725,BWI,MCO,"Baltimore, MD","Orlando, FL",28008,34935,255,787,2007-04,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,6927,27493845,22042296,5451549,137.0
1342742,CLT,MCO,"Charlotte, NC","Orlando, FL",30394,38600,200,468,2007-08,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,8206,18064800,14224392,3840408,193.0
1342748,BWI,MCO,"Baltimore, MD","Orlando, FL",24683,34798,254,787,2007-05,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,10115,27386026,19425521,7960505,137.0
1342752,BWI,MCO,"Baltimore, MD","Orlando, FL",22637,28496,208,787,2007-03,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,5859,22426352,17815319,4611033,137.0
1342756,BWI,MCO,"Baltimore, MD","Orlando, FL",27665,33017,241,787,2007-06,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,5352,25984379,21772355,4212024,137.0
1342779,CLT,MCO,"Charlotte, NC","Orlando, FL",34164,40263,210,468,2007-04,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,6099,18843084,15988752,2854332,192.0
1342794,BWI,MCO,"Baltimore, MD","Orlando, FL",28066,33976,248,787,2007-08,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,5910,26739112,22087942,4651170,137.0
1342815,CLT,MCO,"Charlotte, NC","Orlando, FL",31925,40465,210,468,2007-01,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,8540,18937620,14940900,3996720,193.0
1342821,BWI,MCO,"Baltimore, MD","Orlando, FL",22155,32880,240,787,2007-10,2669702,2034878,39.17539978,-76.66829681,28.4293994903564,-81.3089981079102,10725,25876560,17435985,8440575,137.0
1342851,CLT,MCO,"Charlotte, NC","Orlando, FL",38469,42483,221,468,2007-03,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,4014,19882044,18003492,1878552,192.0
1342862,CLT,MCO,"Charlotte, NC","Orlando, FL",34800,40706,211,468,2007-06,1650974,2034878,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,5906,19050408,16286400,2764008,193.0
1342920,JFK,MCO,"New York, NY","Orlando, FL",47818,54288,348,944,2007-03,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,6470,51247872,45140192,6107680,156.0
1342951,JFK,MCO,"New York, NY","Orlando, FL",39023,49650,331,944,2007-05,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,10627,46869600,36837712,10031888,150.0
1342984,JFK,MCO,"New York, NY","Orlando, FL",36743,42900,275,944,2007-02,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,6157,40497600,34685392,5812208,156.0
1342994,JFK,MCO,"New York, NY","Orlando, FL",28853,40650,271,944,2007-09,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,11797,38373600,27237232,11136368,150.0
1343014,JFK,MCO,"New York, NY","Orlando, FL",47402,51000,340,944,2007-08,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,3598,48144000,44747488,3396512,150.0
1343028,JFK,MCO,"New York, NY","Orlando, FL",34731,40950,273,944,2007-06,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,6219,38656800,32786064,5870736,150.0
1343083,JFK,MCO,"New York, NY","Orlando, FL",41458,47580,305,944,2007-01,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,6122,44915520,39136352,5779168,156.0
1343090,JFK,MCO,"New York, NY","Orlando, FL",39077,45900,306,944,2007-12,37802334,2034878,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,6823,43329600,36888688,6440912,150.0
